tripduration (s),tripduration (m/s),starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Age 
1680,28,57:04.2,25:04.6,3677,Glenwood Ave,40.72755147,-74.07106072,3195,Sip Ave,40.7308971,-74.06391263,42529,Subscriber,1977,Male,43
92,1.53,58:49.2,00:21.6,3209,Brunswick St,40.7241765,-74.0506564,3272,Jersey & 3rd,40.72333159,-74.04595256,42386,Subscriber,1988,Male,32
1862,31.03,01:34.5,32:37.1,3209,Brunswick St,40.7241765,-74.0506564,3209,Brunswick St,40.7241765,-74.0506564,42138,Subscriber,1975,Male,45
1348,22.47,04:50.5,27:19.4,3207,Oakland Ave,40.7376037,-74.0524783,3186,Grove St PATH,40.71958612,-74.04311746,42500,Customer,1998,Male,22
1115,18.58,08:28.0,27:03.8,3214,Essex Light Rail,40.7127742,-74.0364857,3184,Paulus Hook,40.7141454,-74.0335519,42610,Subscriber,1958,Male,62
259,4.32,08:42.0,13:01.4,3184,Paulus Hook,40.7141454,-74.0335519,3481,York St,40.71649,-74.04105,42438,Subscriber,1963,Female,57
351,5.85,12:39.3,18:31.2,3639,Harborside,40.7192517,-74.034234,3279,Dixon Mills,40.72163014,-74.04996783,42327,Subscriber,1986,Male,34
424,7.07,13:23.0,20:27.6,3268,Lafayette Park,40.71346383,-74.06285852,3185,City Hall,40.7177325,-74.043845,42137,Subscriber,1992,Male,28
488,8.13,13:33.0,21:41.3,3212,Christ Hospital,40.73478582,-74.05044364,3196,Riverview Park,40.7443187,-74.0439909,42454,Customer,1979,Female,41
951,15.85,13:53.7,29:45.6,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3199,Newport Pkwy,40.7287448,-74.0321082,42392,Subscriber,1992,Female,28
3329,55.48,15:00.3,10:30.3,3268,Lafayette Park,40.71346383,-74.06285852,3184,Paulus Hook,40.7141454,-74.0335519,42278,Customer,1969,Unknown,51
368,6.13,20:18.4,26:26.8,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42525,Subscriber,1986,Male,34
107,1.78,22:21.5,24:08.9,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,42429,Subscriber,1992,Male,28
1969,32.82,26:46.3,59:35.7,3280,Astor Place,40.7192822,-74.07126188,3280,Astor Place,40.7192822,-74.07126188,42528,Subscriber,1960,Male,60
255,4.25,28:18.3,32:34.1,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,40851,Subscriber,1980,Male,40
1428,23.8,29:14.0,53:02.9,3193,Lincoln Park,40.7246051,-74.07840595,3193,Lincoln Park,40.7246051,-74.07840595,42177,Customer,1969,Unknown,51
1626,27.1,30:03.0,57:09.3,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42392,Subscriber,1992,Female,28
1062,17.7,34:56.6,52:38.9,3694,Jackson Square,40.71113,-74.0789,3275,Columbus Drive,40.7183552,-74.03891444,42599,Subscriber,1988,Male,32
704,11.73,38:06.0,49:50.0,3639,Harborside,40.7192517,-74.034234,3276,Marin Light Rail,40.71458404,-74.04281706,42176,Customer,1969,Unknown,51
786,13.1,40:53.4,53:59.9,3483,Montgomery St,40.71942,-74.05099,3199,Newport Pkwy,40.7287448,-74.0321082,42456,Subscriber,1986,Female,34
306,5.1,43:59.8,49:06.2,3679,Bergen Ave,40.72210379,-74.071455,3679,Bergen Ave,40.72210379,-74.071455,42619,Subscriber,1985,Male,35
2078,34.63,45:36.4,20:15.2,3639,Harborside,40.7192517,-74.034234,3639,Harborside,40.7192517,-74.034234,42526,Customer,1989,Male,31
490,8.17,46:20.2,54:30.9,3213,Van Vorst Park,40.71848892,-74.04772663,3203,Hamilton Park,40.72759597,-74.04424731,42317,Customer,1969,Unknown,51
175,2.92,47:08.4,50:04.0,3279,Dixon Mills,40.72163014,-74.04996783,3272,Jersey & 3rd,40.72333159,-74.04595256,42327,Subscriber,1987,Male,33
2099,34.98,55:42.5,30:41.7,3193,Lincoln Park,40.7246051,-74.07840595,3193,Lincoln Park,40.7246051,-74.07840595,42432,Customer,1969,Unknown,51
157,2.62,56:56.9,59:34.6,3187,Warren St,40.7211236,-74.03805095,3273,Manila & 1st,40.72165072,-74.04288411,42142,Subscriber,1986,Female,34
208,3.47,57:20.8,00:49.5,3199,Newport Pkwy,40.7287448,-74.0321082,3638,Washington St,40.7242941,-74.0354826,42392,Subscriber,1992,Female,28
650,10.83,59:28.3,10:19.2,3193,Lincoln Park,40.7246051,-74.07840595,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42204,Subscriber,1977,Male,43
104,1.73,05:51.5,07:36.1,3273,Manila & 1st,40.72165072,-74.04288411,3187,Warren St,40.7211236,-74.03805095,42142,Subscriber,1986,Female,34
2074,34.57,05:51.7,40:25.8,3269,Brunswick & 6th,40.72601173,-74.05038893,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42466,Customer,1990,Female,30
904,15.07,09:40.0,24:44.5,3210,Pershing Field,40.74267714,-74.05178863,3199,Newport Pkwy,40.7287448,-74.0321082,42251,Customer,1992,Female,28
341,5.68,19:03.9,24:45.1,3187,Warren St,40.7211236,-74.03805095,3199,Newport Pkwy,40.7287448,-74.0321082,42221,Customer,1969,Unknown,51
188,3.13,22:30.1,25:38.1,3272,Jersey & 3rd,40.72333159,-74.04595256,3279,Dixon Mills,40.72163014,-74.04996783,42218,Subscriber,1987,Male,33
773,12.88,22:53.0,35:46.4,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,38937,Subscriber,1986,Female,34
764,12.73,22:59.0,35:43.3,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,34038,Subscriber,1982,Male,38
1464,24.4,25:14.7,49:39.4,3639,Harborside,40.7192517,-74.034234,3276,Marin Light Rail,40.71458404,-74.04281706,42464,Subscriber,1989,Male,31
1667,27.78,27:00.0,54:47.7,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,42265,Subscriber,1989,Female,31
1212,20.2,28:29.6,48:41.6,3639,Harborside,40.7192517,-74.034234,3220,5 Corners Library,40.73496102,-74.05950308,42283,Subscriber,1986,Male,34
374,6.23,28:31.2,34:45.3,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,42377,Subscriber,1990,Male,30
1158,19.3,38:51.2,58:09.5,3184,Paulus Hook,40.7141454,-74.0335519,3268,Lafayette Park,40.71346383,-74.06285852,42278,Customer,1969,Unknown,51
1925,32.08,41:28.6,13:34.6,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42227,Subscriber,1962,Male,58
532,8.87,42:30.4,51:22.6,3272,Jersey & 3rd,40.72333159,-74.04595256,3185,City Hall,40.7177325,-74.043845,42399,Customer,1994,Female,26
500,8.33,42:41.4,51:01.8,3272,Jersey & 3rd,40.72333159,-74.04595256,3185,City Hall,40.7177325,-74.043845,42496,Customer,1994,Female,26
